labels(n),n,keys(n)
"[""PoseOnlyLocation""]","{""name"":""part_gripper_location"",""type"":""individual""}","[""type"",""name""]"
"[""PoseOnlyLocation""]","{""name"":""offset"",""type"":""individual""}","[""name"",""type""]"
"[""Class""]","{""name"":""NoSkuObject""}","[""name""]"
"[""Class""]","{""name"":""GripperThreeFinger""}","[""name""]"
"[""Class""]","{""name"":""TwoJawsGrasp""}","[""name""]"
"[""Class""]","{""name"":""LargeContainer""}","[""name""]"
"[""Class""]","{""name"":""SkuObject""}","[""name""]"
"[""Class""]","{""name"":""ExternalShape""}","[""name""]"
"[""Class""]","{""name"":""ShapeDesign""}","[""name""]"
"[""Class""]","{""name"":""PoseLocationIn""}","[""name""]"
"[""Class""]","{""name"":""Vector""}","[""name""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":-0.5810351605373051,""name"":""medium_gear_vessel_1_x_axis"",""type"":""individual"",""hasVector_I"":0.8138784566625339}","[""hasVector_K"",""hasVector_J"",""type"",""hasVector_I"",""name""]"
"[""Vector""]","{""hasVector_K"":""\""1.000000\"""",""hasVector_J"":""\""0.000000\"""",""name"":""z_axis_part_large_gear_vessel_lg_2"",""type"":""individual"",""hasVector_I"":""\""0.000000\""""}","[""hasVector_K"",""hasVector_J"",""type"",""hasVector_I"",""name""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""name"":""part_medium_gear_1_z_axis"",""type"":""individual"",""hasVector_I"":0}","[""hasVector_K"",""hasVector_J"",""type"",""hasVector_I"",""name""]"
"[""Vector""]","{""hasVector_K"":""\""1.000000\"""",""hasVector_J"":""\""0.000000\"""",""name"":""z_axis_part_large_gear_vessel_lg_1"",""type"":""individual"",""hasVector_I"":""\""0.000000\""""}","[""hasVector_K"",""hasVector_J"",""type"",""hasVector_I"",""name""]"
"[""Vector""]","{""hasVector_K"":""\""0.000000\"""",""hasVector_J"":""\""0.000000\"""",""name"":""x_axis_kit_m2l1_vessel_mg_2"",""type"":""individual"",""hasVector_I"":""\""1.000000\""""}","[""hasVector_K"",""hasVector_J"",""type"",""hasVector_I"",""name""]"
