labels(n),n,keys(n)
"[""Pose""]","{""name"":""pose_kit_m2l1_vessel_lg_1"",""type"":""individual""}","[""type"",""name""]"
"[""StockKeepingUnit""]","{""hasStockKeepingUnit_Description"":""\""SKU for Part large gear\"""",""name"":""sku_part_large_gear"",""type"":""individual"",""hasStockKeepingUnit_Weight"":""\""0.180000\""""}","[""hasStockKeepingUnit_Description"",""type"",""hasStockKeepingUnit_Weight"",""name""]"
"[""Pose""]","{""name"":""pose_part_medium_gear_vessel_mg_1"",""type"":""individual""}","[""type"",""name""]"
"[""Pose""]","{""name"":""pose_part_large_gear_vessel_lg_1"",""type"":""individual""}","[""type"",""name""]"
"[""Pose""]","{""name"":""pose_part_large_gear_vessel_lg_2"",""type"":""individual""}","[""type"",""name""]"
"[""Pose""]","{""name"":""pose_kit_m2l1_vessel_mg_1"",""type"":""individual""}","[""type"",""name""]"
"[""Pose""]","{""name"":""pose_kit_m2l1_vessel_mg_2"",""type"":""individual""}","[""type"",""name""]"
"[""Class""]","{""name"":""KittingWorkstation""}","[""name""]"
"[""Class""]","{""name"":""EndEffectorHolder""}","[""name""]"
"[""Class""]","{""name"":""SolidObject""}","[""name""]"
"[""PoseLocationIn""]","{""name"":""part_medium_gear_1_location"",""type"":""individual""}","[""type"",""name""]"
"[""Pose""]","{""name"":""part_medium_gear_1_pose"",""type"":""individual""}","[""type"",""name""]"
"[""KittingWorkstation""]","{""hasKittingWorkstation_WeightUnit"":""\""kilogram\"""",""hasKittingWorkstation_AngleUnit"":""\""degree\"""",""hasKittingWorkstation_LengthUnit"":""\""meter\"""",""name"":""fanuc_workstation"",""type"":""individual""}","[""hasKittingWorkstation_AngleUnit"",""hasKittingWorkstation_WeightUnit"",""hasKittingWorkstation_LengthUnit"",""name"",""type""]"
"[""PoseLocationIn""]","{""name"":""part_large_gear_1_location"",""type"":""individual""}","[""type"",""name""]"
"[""Pose""]","{""name"":""part_large_gear_1_pose"",""type"":""individual""}","[""type"",""name""]"
"[""PoseLocationIn""]","{""name"":""part_medium_gear_4_location"",""type"":""individual""}","[""type"",""name""]"
"[""Pose""]","{""name"":""part_medium_gear_4_pose"",""type"":""individual""}","[""type"",""name""]"
"[""PoseLocationIn""]","{""name"":""part_medium_gear_3_location"",""type"":""individual""}","[""type"",""name""]"
"[""Pose""]","{""name"":""part_medium_gear_3_pose"",""type"":""individual""}","[""type"",""name""]"
"[""PoseLocationIn""]","{""name"":""part_medium_gear_2_location"",""type"":""individual""}","[""type"",""name""]"
"[""Pose""]","{""name"":""part_medium_gear_2_pose"",""type"":""individual""}","[""type"",""name""]"
"[""PoseLocationIn""]","{""name"":""part_large_gear_2_location"",""type"":""individual""}","[""type"",""name""]"
"[""Pose""]","{""name"":""part_large_gear_2_pose"",""type"":""individual""}","[""type"",""name""]"
"[""Pose""]","{""name"":""part_gripper_pose"",""type"":""individual""}","[""name"",""type""]"
"[""Pose""]","{""name"":""part_large_gear_tray_pose"",""type"":""individual""}","[""type"",""name""]"
"[""PoseOnlyLocation""]","{""name"":""fanuc_cart_location"",""type"":""individual""}","[""type"",""name""]"
"[""Pose""]","{""name"":""fanuc_cart_pose"",""type"":""individual""}","[""name"",""type""]"
"[""Pose""]","{""name"":""medium_gear_vessel_1_pose"",""type"":""individual""}","[""type"",""name""]"
"[""Pose""]","{""name"":""kit_m2l1_pose_1"",""type"":""individual""}","[""type"",""name""]"
"[""Pose""]","{""name"":""robot_pose"",""type"":""individual""}","[""name"",""type""]"
"[""Pose""]","{""name"":""kit_m2l1_pose_2"",""type"":""individual""}","[""type"",""name""]"
"[""Pose""]","{""name"":""offset_part_gripper_pose"",""type"":""individual""}","[""type"",""name""]"
"[""Class""]","{""name"":""VacuumEffectorMultiCup""}","[""name""]"
"[""Point""]","{""hasPoint_Z"":-158,""hasPoint_Y"":100.25,""name"":""part_large_gear_2_point"",""visioncycle"":0,""hasPoint_X"":402.49,""type"":""individual""}","[""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name"",""visioncycle""]"
"[""Point""]","{""hasPoint_Z"":-158,""hasPoint_Y"":87.9,""name"":""part_medium_gear_2_point"",""visioncycle"":0,""hasPoint_X"":637.64,""type"":""individual""}","[""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name"",""visioncycle""]"
"[""Point""]","{""hasPoint_Z"":""\""0.000000\"""",""hasPoint_Y"":""\""0.007460\"""",""name"":""point_kit_m2l1_vessel_lg_1"",""hasPoint_X"":""\""0.038970\"""",""type"":""individual""}","[""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name""]"
"[""Point""]","{""hasPoint_Z"":""\""0.000000\"""",""hasPoint_Y"":""\""0.038460\"""",""name"":""point_kit_m2l1_vessel_mg_1"",""hasPoint_X"":""\""-0.051710\"""",""type"":""individual""}","[""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name""]"
"[""Point""]","{""hasPoint_Z"":""\""0.000000\"""",""hasPoint_Y"":""\""1.000000\"""",""name"":""fanuc_cart_point"",""hasPoint_X"":""\""4.000000\"""",""type"":""individual""}","[""hasPoint_Z"",""hasPoint_Y"",""hasPoint_X"",""name"",""type""]"
"[""Point""]","{""hasPoint_Z"":""\""0.000000\"""",""hasPoint_Y"":""\""-0.038460\"""",""name"":""point_kit_m2l1_vessel_mg_2"",""hasPoint_X"":""\""-0.051710\"""",""type"":""individual""}","[""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name""]"
"[""Point""]","{""hasPoint_Z"":""\""0.000000\"""",""hasPoint_Y"":""\""0.000000\"""",""name"":""part_gripper_point"",""hasPoint_X"":""\""0.000000\"""",""type"":""individual""}","[""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name""]"
"[""Point""]","{""hasPoint_Z"":""\""0.000000\"""",""hasPoint_Y"":""\""0.000000\"""",""name"":""offset_part_gripper_point"",""hasPoint_X"":""\""0.000000\"""",""type"":""individual""}","[""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name""]"
"[""Point""]","{""hasPoint_Z"":-158,""hasPoint_Y"":-196.29,""name"":""part_large_gear_1_point"",""visioncycle"":0,""hasPoint_X"":637.25,""type"":""individual""}","[""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name"",""visioncycle""]"
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-134.39,""name"":""part_large_gear_tray_point"",""visioncycle"":0,""hasPoint_X"":591.07,""type"":""individual""}","[""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name"",""visioncycle""]"
"[""Point""]","{""hasPoint_Z"":-158,""hasPoint_Y"":131.19,""name"":""part_medium_gear_3_point"",""visioncycle"":0,""hasPoint_X"":712.23,""type"":""individual""}","[""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name"",""visioncycle""]"
"[""Point""]","{""hasPoint_Z"":""\""2.000000\"""",""hasPoint_Y"":""\""0.000000\"""",""name"":""robot_point"",""hasPoint_X"":""\""0.250000\"""",""type"":""individual""}","[""hasPoint_Z"",""hasPoint_Y"",""hasPoint_X"",""name"",""type""]"
"[""Point""]","{""hasPoint_Z"":""\""0.000000\"""",""hasPoint_Y"":""\""-1.000000\"""",""name"":""point_min"",""hasPoint_X"":""\""-1.000000\"""",""type"":""individual""}","[""hasPoint_Z"",""hasPoint_Y"",""hasPoint_X"",""name"",""type""]"
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":104.51,""name"":""medium_gear_vessel_1_point"",""visioncycle"":0,""hasPoint_X"":537.86,""type"":""individual""}","[""visioncycle"",""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name""]"
"[""Point""]","{""hasPoint_Z"":""\""0.000000\"""",""hasPoint_Y"":0,""name"":""point_part_large_gear_vessel_lg_2"",""hasPoint_X"":""\""-0.059000\"""",""type"":""individual""}","[""hasPoint_Z"",""hasPoint_X"",""type"",""hasPoint_Y"",""name""]"
"[""Point""]","{""hasPoint_Z"":""\""0.000000\"""",""hasPoint_Y"":0,""name"":""point_part_large_gear__vessel_lg_1"",""hasPoint_X"":""\""0.059000\"""",""type"":""individual""}","[""hasPoint_Z"",""hasPoint_X"",""type"",""hasPoint_Y"",""name""]"
"[""Point""]","{""hasPoint_Z"":""\""0.000000\"""",""hasPoint_Y"":""\""-0.037500\"""",""name"":""point_part_medium_gear_vessel_mg_3"",""hasPoint_X"":""\""-0.037500\"""",""type"":""individual""}","[""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name""]"
"[""Point""]","{""hasPoint_Z"":""\""0.000000\"""",""hasPoint_Y"":""\""-0.037500\"""",""name"":""point_part_medium_gear_vessel_mg_4"",""hasPoint_X"":""\""0.037500\"""",""type"":""individual""}","[""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name""]"
"[""Point""]","{""hasPoint_Z"":""\""0.000000\"""",""hasPoint_Y"":""\""0.037500\"""",""name"":""point_part_medium_gear_vessel_mg_1"",""hasPoint_X"":""\""-0.037500\"""",""type"":""individual""}","[""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name""]"
"[""Point""]","{""hasPoint_Z"":""\""0.000000\"""",""hasPoint_Y"":""\""0.037500\"""",""name"":""point_part_medium_gear_vessel_mg_2"",""hasPoint_X"":""\""0.037500\"""",""type"":""individual""}","[""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name""]"
"[""Point""]","{""hasPoint_Z"":-158,""hasPoint_Y"":217.02,""name"":""part_medium_gear_4_point"",""visioncycle"":0,""hasPoint_X"":706.2,""type"":""individual""}","[""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name"",""visioncycle""]"
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-140.76,""name"":""kit_m2l1_point_1"",""visioncycle"":0,""hasPoint_X"":347.85,""type"":""individual""}","[""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name"",""visioncycle""]"
"[""Point""]","{""hasPoint_Z"":""\""2.000000\"""",""hasPoint_Y"":""\""1.000000\"""",""name"":""point_max"",""hasPoint_X"":""\""1.000000\"""",""type"":""individual""}","[""hasPoint_Z"",""hasPoint_Y"",""hasPoint_X"",""name"",""type""]"
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-139.53,""name"":""kit_m2l1_point_2"",""visioncycle"":0,""hasPoint_X"":349.02,""type"":""individual""}","[""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name"",""visioncycle""]"
"[""Point""]","{""hasPoint_Z"":-158,""hasPoint_Y"":180.56,""name"":""part_medium_gear_1_point"",""visioncycle"":0,""hasPoint_X"":391.64,""type"":""individual""}","[""hasPoint_X"",""hasPoint_Z"",""type"",""hasPoint_Y"",""name"",""visioncycle""]"
"[""Class""]","{""name"":""PoseLocationOn""}","[""name""]"
"[""Class""]","{""name"":""Human""}","[""name""]"
"[""Class""]","{""name"":""ThreeFingerGrasp""}","[""name""]"
"[""Class""]","{""name"":""MarkingLayout""}","[""name""]"
"[""ExternalShape""]","{""hasExternalShape_ModelFileName"":""\""sku_part_medium_gear\"""",""name"":""external_shape_part_medium_gear"",""hasExternalShape_ModelFormatName"":""\""png\"""",""type"":""individual"",""hasShapeDesign_Description"":""\""External shape for part medium gear\""""}","[""hasExternalShape_ModelFileName"",""hasExternalShape_ModelFormatName"",""type"",""hasShapeDesign_Description"",""name""]"
"[""ExternalShape""]","{""hasExternalShape_ModelFileName"":""\""sku_large_gear_vessel\"""",""name"":""external_shape_large_gear_vessel"",""hasExternalShape_ModelFormatName"":""\""png\"""",""type"":""individual"",""hasShapeDesign_Description"":""\""External shape for large gear vessel\""""}","[""hasExternalShape_ModelFileName"",""hasExternalShape_ModelFormatName"",""type"",""hasShapeDesign_Description"",""name""]"
"[""ExternalShape""]","{""hasExternalShape_ModelFileName"":""\""sku_part_large_gear\"""",""name"":""external_shape_part_large_gear"",""hasExternalShape_ModelFormatName"":""\""png\"""",""type"":""individual"",""hasShapeDesign_Description"":""\""External shape for part large gear\""""}","[""hasExternalShape_ModelFileName"",""hasExternalShape_ModelFormatName"",""type"",""hasShapeDesign_Description"",""name""]"
"[""ExternalShape""]","{""hasExternalShape_ModelFileName"":""\""sku_medium_gear_vessel\"""",""name"":""external_shape_medium_gear_vessel"",""hasExternalShape_ModelFormatName"":""\""png\"""",""type"":""individual"",""hasShapeDesign_Description"":""\""External shape for medium gear vessel\""""}","[""hasExternalShape_ModelFileName"",""hasExternalShape_ModelFormatName"",""type"",""hasShapeDesign_Description"",""name""]"
"[""ExternalShape""]","{""hasExternalShape_ModelFileName"":""\""sku_kit_m2l1_vessel\"""",""name"":""external_shape_kit_m2l1"",""hasExternalShape_ModelFormatName"":""\""png\"""",""type"":""individual"",""hasShapeDesign_Description"":""\""External shape for kit m2l1\""""}","[""hasExternalShape_ModelFileName"",""hasExternalShape_ModelFormatName"",""type"",""hasShapeDesign_Description"",""name""]"
"[""WorkTable""]","{""name"":""fanuc_cart"",""type"":""individual""}","[""name"",""type""]"
"[""Class""]","{""name"":""RelativeLocationIn""}","[""name""]"
"[""Class""]","{""name"":""ParallelGripperGrasp""}","[""name""]"
"[""Class""]","{""name"":""PartsBin""}","[""name""]"
"[""RelativeLocationIn""]","{""hasRelativeLocationIn_Description"":""\""The  KittingWorkstation is in fanuc_workstation\"""",""name"":""relative_location_in_1"",""type"":""individual""}","[""type"",""hasRelativeLocationIn_Description"",""name""]"
"[""Class""]","{""name"":""LargeBoxWithPartsTrays""}","[""name""]"
"[""Class""]","{""name"":""Part""}","[""name""]"
"[""Class""]","{""name"":""RelativeLocationOn""}","[""name""]"
"[""Class""]","{""name"":""Marking""}","[""name""]"
"[""Part""]","{""name"":""part_medium_gear_in_pt_1"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_medium_gear_in_pt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":92.17,""visioncycle"":0,""hasPoint_X"":487.22}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""part_medium_gear_in_pt_2"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_medium_gear_in_pt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":113.26,""visioncycle"":0,""hasPoint_X"":593.13}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""part_large_gear_in_pt_1"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_large_gear_in_pt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-189.75,""visioncycle"":0,""hasPoint_X"":589.11}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""part_medium_gear_in_pt_3"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_medium_gear_in_pt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":114.01,""visioncycle"":0,""hasPoint_X"":593.6}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""part_medium_gear_in_pt_4"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_medium_gear_in_pt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":50.42,""visioncycle"":0,""hasPoint_X"":551.34}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""part_large_gear_in_pt_2"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_large_gear_in_pt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-190.23,""visioncycle"":0,""hasPoint_X"":589.37}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_medium_gear_in_kit_m2l1_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":148.45516839773472,""visioncycle"":0,""hasPoint_X"":304.5271790684863}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_medium_gear_in_kit_m2l1_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":71.53901436568482,""visioncycle"":0,""hasPoint_X"":303.75799188842217}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_large_gear_in_kit_m2l1_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":116.54993349807586,""visioncycle"":0,""hasPoint_X"":394.8926502729103}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_large_gear_in_large_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":31.739734511947244,""visioncycle"":0,""hasPoint_X"":632.0534519911903}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_large_gear_in_large_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":29.36628120718959,""visioncycle"":0,""hasPoint_X"":634.2270106432715}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""part_medium_gear_in_kt_1"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_medium_gear_in_kt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":209.46,""visioncycle"":0,""hasPoint_X"":341.96}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""part_medium_gear_in_kt_2"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_medium_gear_in_kt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":185.04,""visioncycle"":0,""hasPoint_X"":418.3}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""part_large_gear_in_kt_1"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_large_gear_in_kt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-115.79,""visioncycle"":0,""hasPoint_X"":318.99}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""part_medium_gear_in_kt_3"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_medium_gear_in_kt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-153.14,""visioncycle"":0,""hasPoint_X"":412.53}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""part_medium_gear_in_kt_4"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_medium_gear_in_kt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-207.46,""visioncycle"":0,""hasPoint_X"":356.7}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Part""]","{""name"":""part_large_gear_in_kt_2"",""visioncycle"":0}","[""name"",""visioncycle""]"
"[""StockKeepingUnit""]","{""name"":""sku_part_large_gear_in_kt""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-148,""hasPoint_Y"":-115.86,""visioncycle"":0,""hasPoint_X"":321.02}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_medium_gear_in_medium_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":-154.09960403178545,""visioncycle"":0,""hasPoint_X"":510.84959603221216}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_medium_gear_in_medium_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
"[""Point""]","{""hasPoint_Z"":-146,""hasPoint_Y"":-151.10040396778788,""visioncycle"":0,""hasPoint_X"":585.7896040317854}","[""hasPoint_X"",""hasPoint_Z"",""hasPoint_Y"",""visioncycle""]"
"[""Vector""]","{""hasVector_K"":0,""hasVector_J"":0,""hasVector_I"":1}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""Vector""]","{""hasVector_K"":1,""hasVector_J"":0,""hasVector_I"":0}","[""hasVector_J"",""hasVector_I"",""hasVector_K""]"
"[""StockKeepingUnit""]","{""name"":""sku_empty_slot_for_medium_gear_in_medium_gear_vessel""}","[""name""]"
[],{},[]
"[""Pose""]",{},[]
